main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
在布莱奇利庄园,ORG,1,在布莱奇利庄园,input.txt,在布莱奇利庄园,在布莱奇利庄园,密码分析,在布莱奇利庄园,0.548996,entity_linker_grouping,entity_id=在布莱奇利庄园; mentions=1; avg_link_score=0.5490
帕丁顿,LOC,1,帕丁顿,input.txt,E_LOC_PADDINGTON,帕丁顿,孩童和年轻时代,帕丁顿,0.704856,entity_linker_grouping,entity_id=E_LOC_PADDINGTON; mentions=1; avg_link_score=0.7049
戈登·布朗,PER,1,英国首相戈登·布朗,input.txt,E_PER_BROWN,英国首相戈登·布朗,政府的道歉和平反,英国首相戈登·布朗,0.671268,entity_linker_grouping,entity_id=E_PER_BROWN; mentions=1; avg_link_score=0.6713
新墨西哥州洛斯阿拉莫斯国家实验室,ORG,1,新墨西哥州洛斯阿拉莫斯国家实验室,input.txt,E_ORG_LANL,新墨西哥州洛斯阿拉莫斯国家实验室,全文,新墨西哥州洛斯阿拉莫斯国家实验室,0.706757,entity_linker_grouping,entity_id=E_ORG_LANL; mentions=1; avg_link_score=0.7068
普林斯顿,LOC,1,普林斯顿,input.txt,普林斯顿,普林斯顿,剑桥大学国王学院的电脑房现在以图灵为名,普林斯顿,0.557804,entity_linker_grouping,entity_id=普林斯顿; mentions=1; avg_link_score=0.5578
普林斯顿大学,ORG,1,普林斯顿大学,input.txt,E_ORG_PRINCETON,普林斯顿大学,剑桥大学国王学院的电脑房现在以图灵为名,普林斯顿大学,0.687804,entity_linker_grouping,entity_id=E_ORG_PRINCETON; mentions=1; avg_link_score=0.6878
曼彻斯特一号,PROD,1,曼彻斯特一号,input.txt,E_PROD_M1,曼彻斯特一号,在布莱切利庄园的图灵石像[45],曼彻斯特一号,0.696758,entity_linker_grouping,entity_id=E_PROD_M1; mentions=1; avg_link_score=0.6968
曼彻斯特大学计算机实验室,ORG,1,曼彻斯特大学计算机实验室,input.txt,E_ORG_UOM_CL,曼彻斯特大学计算机实验室,在布莱切利庄园的图灵石像[45],曼彻斯特大学计算机实验室,0.708845,entity_linker_grouping,entity_id=E_ORG_UOM_CL; mentions=1; avg_link_score=0.7088
每日电讯报,ORG,1,每日电讯报,input.txt,E_ORG_DT,每日电讯报,政府的道歉和平反,每日电讯报,0.668726,entity_linker_grouping,entity_id=E_ORG_DT; mentions=1; avg_link_score=0.6687
沃尔顿竞技俱乐部,ORG,1,沃尔顿竞技俱乐部,input.txt,E_ORG_WAC,沃尔顿竞技俱乐部,密码分析,沃尔顿竞技俱乐部,0.674897,entity_linker_grouping,entity_id=E_ORG_WAC; mentions=1; avg_link_score=0.6749
洛斯阿拉莫斯象棋,PROD,1,洛斯阿拉莫斯象棋,input.txt,E_PROD_LA_CHESS,洛斯阿拉莫斯象棋,全文,洛斯阿拉莫斯象棋,0.710285,entity_linker_grouping,entity_id=E_PROD_LA_CHESS; mentions=1; avg_link_score=0.7103
舍伯恩学校,ORG,1,舍伯恩学校,input.txt,E_ORG_SHERBORNE,舍伯恩学校,孩童和年轻时代,舍伯恩学校,0.699329,entity_linker_grouping,entity_id=E_ORG_SHERBORNE; mentions=1; avg_link_score=0.6993
艾伦·图灵法案,PROD,1,艾伦·图灵法案,input.txt,E_PROD_TURING_ACT,艾伦·图灵法案,政府的道歉和平反,艾伦·图灵法案,0.698415,entity_linker_grouping,entity_id=E_PROD_TURING_ACT; mentions=1; avg_link_score=0.6984
艾伦·图灵选集,PROD,1,艾伦·图灵选集,input.txt,艾伦·图灵选集,艾伦·图灵选集,图案形成和数理生物学的研究,艾伦·图灵选集,0.608777,entity_linker_grouping,entity_id=艾伦·图灵选集; mentions=1; avg_link_score=0.6088
英国司法部,ORG,1,英国司法部,input.txt,E_ORG_MOJ_UK,英国司法部,政府的道歉和平反,英国司法部,0.673686,entity_linker_grouping,entity_id=E_ORG_MOJ_UK; mentions=1; avg_link_score=0.6737
英国皇家海军,ORG,1,英国皇家海军,input.txt,E_ORG_NAVY_UK,英国皇家海军,密码分析,英国皇家海军,0.675043,entity_linker_grouping,entity_id=E_ORG_NAVY_UK; mentions=1; avg_link_score=0.6750
解码纳粹秘密,PROD,1,Nova PBS纪录片《解码纳粹秘密》,input.txt,E_PROD_DECODE_NAZI,Nova PBS纪录片《解码纳粹秘密》,密码分析,Nova PBS纪录片《解码纳粹秘密》,0.696405,entity_linker_grouping,entity_id=E_PROD_DECODE_NAZI; mentions=1; avg_link_score=0.6964
阿隆佐·邱奇,PER,1,比阿隆佐·邱奇,input.txt,E_PER_CHURCH,比阿隆佐·邱奇,剑桥大学国王学院的电脑房现在以图灵为名,比阿隆佐·邱奇,0.720776,entity_linker_grouping,entity_id=E_PER_CHURCH; mentions=1; avg_link_score=0.7208
