entity,entity_type,start,end,source_file,source
图灵,PER,5466,5468,input.txt,kb_dict
图灵,PER,5480,5482,input.txt,ner
图灵,PER,5515,5517,input.txt,ner
英国司法部,ORG,5670,5675,input.txt,kb_dict
英国,LOC,5677,5679,input.txt,kb_dict
伊丽莎白二世,PER,5681,5687,input.txt,kb_dict
图灵,PER,5707,5709,input.txt,kb_dict
图灵,PER,5732,5734,input.txt,kb_dict
图灵,PER,5771,5773,input.txt,ner
英国,LOC,5777,5779,input.txt,kb_dict
英国政府,ORG,5803,5807,input.txt,kb_dict
图灵,PER,5817,5819,input.txt,kb_dict
艾伦·图灵法案,PROD,5842,5849,input.txt,kb_dict
